<<<<<<< HEAD
frame_number,x,y,sequence_id,sequence_annotation,number_of_points,still_file,Path,site_id,CT_serial_number,Folder,xdim,ydim,cam_id,file_name,file_id,Time,Date,PA_cat,Dig,Num_an
127,1497.768322,998.2215854,OCCAJ04_12,0.2,1,PICT0140.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0140.JPG,PICT0140.JPG_OCCAJ04,NA,NA,NA,Y,
127,1493.664734,793.0421963,OCCAJ04_13,0.4,1,PICT0140.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0140.JPG,PICT0140.JPG_OCCAJ04,NA,NA,NA,Y,
132,2339.003817,1363.440898,OCCAJ04_14,0.2,1,PICT0145.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0145.JPG,PICT0145.JPG_OCCAJ04,NA,NA,NA,Y,
132,2355.418168,854.5960131,OCCAJ04_15,0.4,1,PICT0145.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0145.JPG,PICT0145.JPG_OCCAJ04,NA,NA,NA,Y,
135,2142.031604,1113.122043,OCCAJ04_16,0.2,1,PICT0148.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0148.JPG,PICT0148.JPG_OCCAJ04,NA,NA,NA,Y,
135,2146.135191,817.663723,OCCAJ04_17,0.4,1,PICT0148.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0148.JPG,PICT0148.JPG_OCCAJ04,NA,NA,NA,Y,
137,439.0426743,1601.448989,OCCAJ04_18,0.2,1,PICT0150.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0150.JPG,PICT0150.JPG_OCCAJ04,NA,NA,NA,Y,
137,463.664201,813.5601352,OCCAJ04_19,0.4,1,PICT0150.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0150.JPG,PICT0150.JPG_OCCAJ04,NA,NA,NA,Y,
147,631.9113001,1154.157921,OCCAJ04_20,0.2,1,PICT0160.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0160.JPG,PICT0160.JPG_OCCAJ04,NA,NA,NA,Y,
147,623.7041245,760.2134941,OCCAJ04_21,0.4,1,PICT0160.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0160.JPG,PICT0160.JPG_OCCAJ04,NA,NA,NA,Y,
150,685.2579412,1072.086165,OCCAJ04_22,0.2,1,PICT0163.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0163.JPG,PICT0163.JPG_OCCAJ04,NA,NA,NA,Y,
150,689.361529,784.8350208,OCCAJ04_23,0.4,1,PICT0163.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0163.JPG,PICT0163.JPG_OCCAJ04,NA,NA,NA,Y,
158,2482.62939,973.6000587,OCCAJ04_24,0.2,1,PICT0171.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0171.JPG,PICT0171.JPG_OCCAJ04,NA,NA,NA,Y,
158,2486.732977,674.0381507,OCCAJ04_25,0.4,1,PICT0171.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0171.JPG,PICT0171.JPG_OCCAJ04,NA,NA,NA,Y,
0,327.5555556,242.6666684,OCCAJ06_0,Lt,1,a(43)_01.jpeg,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,720,480,B10,a(43),a(43)_OCCAJ06,23:13:06,17/08/2015,strict,Y,
89,1450.401779,2056.001284,OCCAJ06_1,0.2,1,PICT0130.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0130.JPG,PICT0130.JPG_OCCAJ06,NA,NA,NA,Y,
89,1458.98963,836.5264567,OCCAJ06_2,0.4,1,PICT0130.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0130.JPG,PICT0130.JPG_OCCAJ06,NA,NA,NA,Y,
95,1304.408314,1313.152182,OCCAJ06_3,0.2,1,PICT0136.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0136.JPG,PICT0136.JPG_OCCAJ06,NA,NA,NA,Y,
95,1295.820463,883.7596366,OCCAJ06_4,0.4,1,PICT0136.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0136.JPG,PICT0136.JPG_OCCAJ06,NA,NA,NA,Y,
100,1364.52327,1171.452642,OCCAJ06_5,0.2,1,PICT0141.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0141.JPG,PICT0141.JPG_OCCAJ06,NA,NA,NA,Y,
100,1360.229345,913.8171148,OCCAJ06_6,0.4,1,PICT0141.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0141.JPG,PICT0141.JPG_OCCAJ06,NA,NA,NA,Y,
119,1287.232612,1055.516655,OCCAJ06_7,0.2,1,PICT0160.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0160.JPG,PICT0160.JPG_OCCAJ06,NA,NA,NA,Y,
119,1295.820463,918.1110402,OCCAJ06_8,0.4,1,PICT0160.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0160.JPG,PICT0160.JPG_OCCAJ06,NA,NA,NA,Y,
132,677.4951984,1557.905932,OCCAJ06_9,0.2,1,PICT0173.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0173.JPG,PICT0173.JPG_OCCAJ06,NA,NA,NA,Y,
132,673.2012729,961.0502947,OCCAJ06_10,0.4,1,PICT0173.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0173.JPG,PICT0173.JPG_OCCAJ06,NA,NA,NA,Y,
140,733.3162292,1287.388629,OCCAJ06_11,0.2,1,PICT0181.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0181.JPG,PICT0181.JPG_OCCAJ06,NA,NA,NA,Y,
140,746.1980056,922.4049657,OCCAJ06_12,0.4,1,PICT0181.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0181.JPG,PICT0181.JPG_OCCAJ06,NA,NA,NA,Y,
148,625.968093,1162.864791,OCCAJ06_13,0.2,1,PICT0189.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0189.JPG,PICT0189.JPG_OCCAJ06,NA,NA,NA,Y,
148,621.6741675,913.8171148,OCCAJ06_14,0.4,1,PICT0189.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0189.JPG,PICT0189.JPG_OCCAJ06,NA,NA,NA,Y,
152,922.248949,1107.04376,OCCAJ06_15,0.2,1,PICT0193.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0193.JPG,PICT0193.JPG_OCCAJ06,NA,NA,NA,Y,
152,913.6610981,913.8171148,OCCAJ06_16,0.4,1,PICT0193.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0193.JPG,PICT0193.JPG_OCCAJ06,NA,NA,NA,Y,
159,2360.713975,1128.513387,OCCAJ06_17,0.2,1,PICT0200.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0200.JPG,PICT0200.JPG_OCCAJ06,NA,NA,NA,Y,
159,2373.595751,922.4049657,OCCAJ06_18,0.4,1,PICT0200.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0200.JPG,PICT0200.JPG_OCCAJ06,NA,NA,NA,Y,
164,2614.055576,1184.334418,OCCAJ06_19,0.2,1,PICT0205.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0205.JPG,PICT0205.JPG_OCCAJ06,NA,NA,NA,Y,
164,2639.819129,913.8171148,OCCAJ06_20,0.4,1,PICT0205.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0205.JPG,PICT0205.JPG_OCCAJ06,NA,NA,NA,Y,
167,2691.346234,1368.973212,OCCAJ06_21,0.2,1,PICT0208.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0208.JPG,PICT0208.JPG_OCCAJ06,NA,NA,NA,Y,
167,2734.285489,896.641413,OCCAJ06_22,0.4,1,PICT0208.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0208.JPG,PICT0208.JPG_OCCAJ06,NA,NA,NA,Y,
176,3073.505599,1802.659683,OCCAJ06_23,0.2,1,PICT0217.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0217.JPG,PICT0217.JPG_OCCAJ06,NA,NA,NA,Y,
176,3052.035972,832.2325312,OCCAJ06_24,0.4,1,PICT0217.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10,PICT0217.JPG,PICT0217.JPG_OCCAJ06,NA,NA,NA,Y,
0,-33.44419877,354.0748726,OCCAJ11_0,Lt,1,a(6)_01.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13,a(6),a(6)_OCCAJ11,01:21:34,13/08/2015,strict,Y,
22,422.700863,402.8665085,OCCAJ11_1,Lt,1,a(7)_01.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13,a(7),a(7)_OCCAJ11,22:27:26,14/08/2015,strict,Y,
22,422.700863,399.4624409,OCCAJ11_2,Lt,3,a(7)_01.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13,a(7),a(7)_OCCAJ11,22:27:26,14/08/2015,strict,Y,
23,574.7492169,406.2705761,OCCAJ11_2,Lt,3,a(7)_02.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13,a(7),a(7)_OCCAJ11,22:27:26,14/08/2015,strict,Y,
